"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","Ap Grid [kWh]","out4ap [kWh]","out3ap [kWh]","out2ap [kWh]","out1ap [kWh]"
2014-06-24 00:00:00,149.861461389,689.643880556,421.064708056,29.709684722,219.491971111,154.177346667,689.643880556,142.646281667,7.215179722,-255.900166389,933946562104.000090000,5255811416072.999800000,3298594129646.000200000,-51.403446667,48.156010278,159.617690000,-146.512088333,355.234358333
2014-06-23 00:00:00,149.867144722,685.176533889,420.410154722,28.437915833,216.378941111,153.856038056,685.176533889,142.653411944,7.213732778,-255.078221111,931649141289.999960000,5235903844042.999700000,3294273695130.000100000,-51.393842778,47.845826111,156.519216944,-147.776537778,354.608335833
2014-06-22 00:00:00,149.873708889,682.932471667,420.391710833,28.224314444,216.359621944,153.840156944,682.932471667,142.660392500,7.213316389,-254.289718611,929320469437.999960000,5215992288252.000200000,3289953258425.999800000,-51.384667778,47.865886389,156.523429167,-147.980388889,354.616872500
2014-06-21 00:00:00,149.878477500,679.830669444,420.370821944,28.113435278,216.133999444,153.827529722,679.830669444,142.666885278,7.211592222,-253.497111389,927008065720.999950000,5196085223598.999900000,3285632821425.999900000,-51.375557500,47.895023889,156.322911111,-148.077601389,354.624950556
2014-06-20 00:00:00,149.888035278,678.725808611,415.138743333,28.004984444,216.119256944,153.800154167,678.725808611,142.676811389,7.211223889,-252.704599167,924665179986.000060000,5180124114865.999800000,3277761996225.000000000,-50.967710833,47.904653056,156.327191111,-148.177115278,349.405953611
2014-06-19 00:00:00,149.895453333,676.356278889,415.126305278,26.895686389,213.646270000,153.506787778,676.356278889,142.685022500,7.210430833,-251.925361389,922355513674.000020000,5165788815911.999900000,3268425651406.000200000,-50.411706389,47.630651667,153.867340833,-149.276603611,349.420419722
2014-06-18 00:00:00,149.902976389,671.609375833,412.266631667,25.925021389,211.475208056,153.034043611,671.609375833,142.693407778,7.209568611,-251.151900000,920065059637.000080000,5145890426493.999900000,3264105231093.000100000,-50.400458611,47.159064444,151.712799444,-150.235218611,346.572646389
2014-06-17 00:00:00,149.908928889,667.059230833,412.248659167,24.829935833,209.494323056,152.819060833,667.059230833,142.700442500,7.208486389,-250.360048333,917741028115.000000000,5125985579097.999900000,3259784808276.000000000,-50.389915833,46.961398889,149.747306111,-151.321790278,346.586041944
2014-06-16 00:00:00,149.914084722,664.087980278,412.232758333,23.701710278,207.350350000,152.507310000,664.087980278,142.706450000,7.207634722,-249.505324444,915426188805.999990000,5106080656054.999800000,3255464383820.000200000,-50.380668333,46.659536111,147.617894167,-152.446834167,346.599025278
2014-06-15 00:00:00,149.918886944,660.942253333,411.127703889,23.508362500,207.331327500,152.318096111,660.942253333,142.712038889,7.206848056,-248.652385278,913078405044.000020000,5086168270350.000200000,3251143960188.000200000,-50.372490000,46.498309722,147.621184722,-152.638536111,345.511232222
