"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","Ap Grid [kWh]","out4ap [kWh]","out3ap [kWh]","out2ap [kWh]","out1ap [kWh]"
2014-10-10 00:00:00,155.836229722,1104.620351111,592.254580556,68.832381944,389.454220556,198.438499167,1104.620351111,148.482468056,7.353761667,-345.617849722,1180139909105.000000000,7273177321503.000200000,3896819267351.999800000,-68.722364444,91.220215000,327.807463611,-109.143232500,525.177847778
2014-10-09 00:00:00,155.838928611,1101.371761667,592.236703889,68.810923056,389.437727500,196.410321944,1101.371761667,148.486776944,7.352151667,-344.786971111,1177910891074.000000000,7253267609140.000300000,3892498829110.000100000,-68.713176944,89.192038611,327.815741944,-109.145209167,525.184065833
2014-10-08 00:00:00,155.844630833,1096.538274167,590.494305556,67.901882222,385.967565278,194.975466111,1096.538274167,148.493695278,7.350935556,-343.960450833,1175682483316.999900000,7233364281097.999800000,3888178388266.000100000,-68.702077778,87.757409722,324.356060000,-110.040728056,523.454613333
2014-10-07 00:00:00,150.940253056,1091.420379444,587.123997500,66.934165000,382.573182222,193.910764167,1091.420379444,143.590082500,7.350170556,-343.092750278,1173390357565.000000000,7213711822739.000300000,3883860033424.999700000,-68.685557500,86.696176389,320.973066389,-110.996296111,520.092896389
2014-10-06 00:00:00,150.946596667,1088.190691111,585.888364722,66.635643333,380.160573333,192.297860278,1088.190691111,143.597575000,7.349021667,-342.256460000,1171062688023.000000000,7196772190866.999600000,3877120021446.999900000,-68.101468889,85.104720833,318.573248889,-111.278298889,518.871728611
2014-10-05 00:00:00,149.623651667,1085.986013889,585.166351667,66.531114444,379.547221667,190.417446944,1085.986013889,142.275501667,7.348150000,-341.406332500,1168794207817.000000000,7179477621753.000000000,3871116794031.000100000,-67.619716111,83.237772222,317.976373056,-111.370642778,518.164178611
2014-10-04 00:00:00,149.537649444,1082.338208889,584.093830833,66.088123333,378.498990556,188.904958056,1082.338208889,142.190712778,7.346936667,-340.577512500,1166542936107.999900000,7160044354184.000400000,3865979322720.999700000,-67.610791111,81.726019444,316.945741667,-111.803082778,517.104993889
2014-10-03 00:00:00,149.544918889,1077.823540833,580.092074167,65.761421111,376.362750833,187.905737778,1077.823540833,142.198913611,7.346005278,-339.733642222,1164231412485.000000000,7141860177149.000100000,3860250633163.999900000,-67.183275000,80.728832222,314.814407778,-112.103158056,513.110479167
2014-10-02 00:00:00,149.551581111,1074.728190833,580.079392500,64.962272500,373.781387778,186.665448611,1074.728190833,142.206444444,7.345136667,-338.893987778,1161926193729.999900000,7125069074126.000400000,3853539016725.999700000,-66.359094444,79.507624444,312.250806667,-112.888818333,513.119910556
2014-10-01 00:00:00,149.557740556,1070.944875556,579.169041944,64.531668333,370.196606667,185.304019167,1070.944875556,142.214010278,7.343730278,-338.070781111,1159671224845.000000000,7106636705368.000200000,3848138568205.999700000,-65.936396944,78.158271667,308.682531667,-113.303005833,512.231634722
2014-09-30 00:00:00,149.562911111,1065.656816944,577.929309167,63.719550278,367.344118333,184.164389444,1065.656816944,142.219847500,7.343063611,-337.240481667,1157385428453.000000000,7086732630473.999900000,3843818135275.999900000,-65.926943333,77.018827500,305.839651111,-114.103093056,511.011552500
2014-09-29 00:00:00,149.569394722,1061.905253611,576.757901389,62.673595278,363.933534444,183.340099444,1061.905253611,142.227030000,7.342364722,-336.369895833,1155042781774.999900000,7069829468811.999500000,3836831065740.000000000,-65.433067222,76.202311944,302.433959444,-115.138740000,509.859064444
2014-09-28 00:00:00,149.573320000,1056.686824444,576.158439444,62.395344444,363.918835833,182.322664167,1056.686824444,142.232644167,7.340675833,-335.539679444,1152741759308.999900000,7053011582530.000200000,3829892255281.999700000,-64.835200833,75.199336944,302.440852778,-115.392313056,509.277649444
2014-09-27 00:00:00,149.575645833,1052.427982222,575.466110833,62.094527222,363.901030278,180.942513611,1052.427982222,142.235933056,7.339712778,-334.758738056,1150501589045.999900000,7033112235278.999800000,3825571741492.999700000,-64.826986111,73.819406667,302.445516944,-115.678085278,508.601261389
2014-09-26 00:00:00,149.579473611,1048.129619444,573.167880278,61.952450278,361.514377500,180.162530000,1048.129619444,142.240629444,7.338844167,-334.019616111,1148277951598.999900000,7013212980736.000500000,3821251305447.999800000,-64.817635000,73.040182222,300.072429167,-115.802998056,506.312654722
2014-09-25 00:00:00,149.584835833,1043.803204444,570.735916389,61.574202778,358.949663333,179.326180000,1043.803204444,142.247208056,7.337627778,-333.206266389,1145995144484.000000000,6993308653381.999700000,3816930868533.999900000,-64.807128611,72.208886944,297.517079167,-116.167554167,503.889250556
2014-09-24 00:00:00,149.590796944,1039.187908611,570.272568889,60.576387778,354.448726111,178.978330833,1039.187908611,142.253690278,7.337106667,-332.339133611,1143656965910.000000000,6976400033472.000300000,3810121919753.999700000,-64.182160000,71.867623611,293.025253889,-117.156628333,503.443289722
2014-09-23 00:00:00,149.597546667,1034.551624167,568.760122222,59.597333889,350.731905833,178.527808333,1034.551624167,142.260839167,7.336707500,-331.468685556,1141365624940.000000000,6961139800058.000000000,3802006570699.999900000,-63.086584167,71.423534444,289.310824722,-118.128344444,501.937227778
2014-09-22 00:00:00,149.603241389,1030.261028333,568.744694722,58.661554167,346.739810278,177.895557778,1030.261028333,142.267399167,7.335842222,-330.652971667,1139135989415.999900000,6942015815852.999600000,3797112142215.999900000,-62.871499444,70.793004167,285.320294167,-119.050851389,501.945786944
2014-09-21 00:00:00,149.607413333,1025.186465556,568.726768889,58.642491667,343.652726667,177.483293056,1025.186465556,142.272538333,7.334875000,-329.838808333,1136880362841.999900000,6922108872642.999800000,3792791708600.000100000,-62.861620000,70.381430556,282.237450833,-119.048752778,501.950531389
2014-09-20 00:00:00,149.614735000,1021.561570556,568.714734167,57.803499167,338.492698056,177.006935833,1021.561570556,142.280530556,7.334204444,-328.980041944,1134601961967.000000000,6905651604476.000000000,3785736571341.999700000,-62.137740833,69.910555556,277.097202778,-119.876471389,501.961287222
2014-09-19 00:00:00,149.619901389,1016.438171944,568.700790278,56.757390556,335.441499167,176.796191944,1016.438171944,142.286425833,7.333475556,-328.154299444,1132373328896.999900000,6888200374444.999600000,3779087093758.000100000,-61.768085278,69.708743889,274.062188333,-120.913372222,501.968504722
