"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-06-24 00:00:00,43.393444722,1108.588915278,268.015251667,54.579040556,135.550918611,338.904791944,1108.588915278,15.519635278,27.873809444,-290.627707222,679894787506.000040000,4524287646718.999700000,3592001167664.999900000,267.061755556,52.994551389,134.729011944,338.184548611,28.408460278
2014-06-23 00:00:00,43.392444722,1103.765164722,268.011046944,54.575094722,135.337906667,336.821103889,1103.765164722,15.518635278,27.873809444,-289.539066667,677658628449.000000000,4504304146478.999800000,3587680798199.999900000,267.063567500,52.996607222,134.516009722,336.102578889,28.406466667
2014-06-22 00:00:00,43.390942778,1099.766809167,268.007699167,54.572334444,132.545917222,335.733781111,1099.766809167,15.517133333,27.873809444,-288.451311111,675452903722.999930000,4484334164585.999800000,3583360427263.000000000,267.066845833,53.002003333,131.724022500,335.016884722,28.403257500
2014-06-21 00:00:00,43.389950000,1096.472616111,268.003650833,54.568674444,132.063121944,334.514588333,1096.472616111,15.516140556,27.873809444,-287.358155278,673223249884.000060000,4464350854521.999900000,3579040057228.000100000,267.068363333,53.004034722,131.241246667,333.799544167,28.401357778
2014-06-20 00:00:00,43.389090556,1094.011170278,267.999977222,54.565281667,131.325643056,333.244437222,1094.011170278,15.515281111,27.873809444,-286.266545278,671004691235.000010000,4444381794068.999800000,3574719687197.999900000,267.070138889,53.006438333,130.503770556,332.531046944,28.399143611
2014-06-19 00:00:00,43.388976667,1092.724552778,267.997896111,54.563485833,131.173948611,332.092859722,1092.724552778,15.515167222,27.873809444,-285.192703611,668767256294.999950000,4433963057552.999800000,3565973732045.000100000,267.071208056,53.007691667,130.352078056,331.379537500,28.398405278
2014-06-18 00:00:00,43.389683333,1091.772712778,267.997836111,54.563367222,131.173733611,332.092827778,1091.772712778,15.515873889,27.873809444,-284.137312778,666514431614.000080000,4433834790744.000000000,3551134850475.000100000,267.071179444,53.007575833,130.351864444,331.379620556,28.399331667
2014-06-17 00:00:00,43.390365556,1090.721027500,267.997743056,54.563229722,131.173500278,332.092783056,1090.721027500,15.516556111,27.873809444,-283.075982778,664261708509.000060000,4433706731273.000200000,3537085196205.999800000,267.071098056,53.007441389,130.351633611,331.379687222,28.400227500
2014-06-16 00:00:00,43.391012500,1089.738686944,267.997623611,54.563093611,131.173238056,332.092712500,1089.738686944,15.517203056,27.873809444,-282.018507500,662014316162.999980000,4433579438495.000000000,3523776148795.999800000,267.070982778,53.007317500,130.351378056,331.379704167,28.401066111
2014-06-15 00:00:00,43.391679444,1088.513393056,267.997521111,54.562963056,131.172996389,332.092658611,1088.513393056,15.517870000,27.873809444,-280.961112778,659765754893.999930000,4433451925173.000000000,3509904822383.000200000,267.070887778,53.007193889,130.351140000,331.379745833,28.401935833
2014-06-14 00:00:00,43.392328889,1087.152858056,267.997410833,54.562832778,131.172751111,332.092597222,1087.152858056,15.518519444,27.873809444,-279.905678889,657521199439.000010000,4433324398101.000100000,3496195041144.000200000,267.070785833,53.007078333,130.350903889,331.379780000,28.402794167
2014-06-13 00:00:00,43.392978056,1085.341144722,267.997308889,54.562700833,131.172503611,332.092539722,1085.341144722,15.519168611,27.873809444,-278.853305278,655281309889.000050000,4433196796159.999900000,3482600685770.000200000,267.070693611,53.006958333,130.350662222,331.379803889,28.403661111
2014-06-12 00:00:00,43.392751667,1081.225469167,267.503525556,54.560589722,131.052376389,331.752062500,1081.225469167,15.518942222,27.873809444,-277.811633889,653057245055.000060000,4421998916768.000100000,3473794415410.000000000,266.577982222,53.008160833,130.230536667,331.040588889,28.402726111
2014-06-11 00:00:00,43.391855000,1076.248761667,267.000249722,54.556576667,130.883615278,330.224693889,1076.248761667,15.518045556,27.873809444,-276.773793611,650848726177.000040000,4402026869391.999800000,3469474042372.000200000,266.078301667,53.010385833,130.061808611,329.515529722,28.400409444
2014-06-10 00:00:00,43.390898611,1072.541750278,266.311302222,54.547645000,130.460017500,328.745468889,1072.541750278,15.517089167,27.873809444,-275.738323611,648665710131.999960000,4382066839132.999700000,3465153668187.000100000,265.392643889,53.006896111,129.638210833,328.036829167,28.397799444
2014-06-09 00:00:00,43.389896667,1069.493988056,264.851688611,54.544455556,130.030773056,327.553130278,1069.493988056,15.516087222,27.873809444,-274.702582778,646477498513.000010000,4362098006815.999700000,3460833293851.000000000,263.935570556,53.010237778,129.208966944,326.844492222,28.394400278
2014-06-08 00:00:00,43.389179722,1064.265741111,264.847252222,54.540678889,129.550473333,326.267393056,1064.265741111,15.515370278,27.873809444,-273.666562778,644264100625.000000000,4342105303955.000000000,3456512920906.000100000,263.936339167,53.012221667,128.728668611,325.559892222,28.392558611
2014-06-07 00:00:00,43.388075000,1060.664582222,263.214808056,54.537470833,129.072394444,324.455027500,1060.664582222,15.514265556,27.873809444,-272.633896944,642073749169.999950000,4322129537225.999800000,3452192549915.999700000,262.306922222,53.016272222,128.250601389,323.749380000,28.388635000
2014-06-06 00:00:00,43.387052778,1056.696326944,262.864062222,54.533839444,128.723480556,322.635228611,1056.696326944,15.513243333,27.873809444,-271.595223333,639857163662.999980000,4302152343833.000000000,3447872176597.999900000,261.959590556,53.018795000,127.901693056,321.930474722,28.386388611
2014-06-05 00:00:00,43.386096389,1051.234936111,261.559395000,54.525514444,127.913602222,321.257795000,1051.234936111,15.512286944,27.873809444,-270.556765000,637643460424.999950000,4282186176266.000200000,3443551803360.999800000,260.657091111,53.016256389,127.091825278,320.554753333,28.382783056
2014-06-04 00:00:00,43.384979167,1046.748497778,260.189556667,54.522310833,127.091671944,320.138682222,1046.748497778,15.511169722,27.873809444,-269.516289167,635428143819.000000000,4262216282376.999800000,3439231430805.000000000,259.288492778,53.019946667,126.269898056,319.437487778,28.379213889
2014-06-03 00:00:00,43.384068333,1042.697301111,259.219943889,54.513178056,126.566158889,319.069459167,1042.697301111,15.510258889,27.873809444,-268.477859722,633212412906.000010000,4242233543478.999700000,3434911057846.000100000,258.322815000,53.016239167,125.744389722,318.370228611,28.376417222
2014-06-02 00:00:00,43.383228611,1037.422515556,257.635166667,54.509684444,126.279098611,317.966184167,1037.422515556,15.509419167,27.873809444,-267.440067500,630992108964.999910000,4222251526480.000000000,3430590687261.999800000,256.740860556,53.019364444,125.457333889,317.268755000,28.373085833
2014-06-01 00:00:00,43.382423889,1034.197878889,257.630777500,54.506015000,125.718483889,316.173353056,1034.197878889,15.508614444,27.873809444,-266.400253611,628779565460.999960000,4202265828928.999900000,3426270314826.999900000,256.741964444,53.021810000,124.896724167,315.477130000,28.370967778
2014-05-31 00:00:00,43.381811944,1030.478892222,257.626171389,54.502023056,125.458578056,314.905832500,1030.478892222,15.508002500,27.873809444,-265.358224722,626562950046.000000000,4182287952831.000000000,3421949940446.000000000,256.742602222,53.023506667,124.636825000,314.211702778,28.369353611
2014-05-30 00:00:00,43.380898611,1025.859989722,256.276935833,54.498498333,125.377456111,313.889993889,1025.859989722,15.507089167,27.873809444,-264.320618611,624354907810.999980000,4162307777182.000200000,3417629566917.999900000,255.396331389,53.025978611,124.555705000,313.197701389,28.366475000
