"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-10-10 00:00:00,43.464140000,1471.754630000,304.604631944,55.037497222,170.058902222,477.945489722,1471.754630000,15.590323889,27.873816111,-399.839363611,917919640200.999970000,6524774784983.999700000,4197415779466.000100000,303.166600833,52.802868611,169.051368889,477.016133333,28.596837222
2014-10-09 00:00:00,43.463296111,1468.056246111,304.599414167,55.033143333,169.041369722,475.488808333,1468.056246111,15.589480000,27.873816111,-398.849594167,915786559300.999990000,6504804609110.000100000,4193095393307.999900000,303.167972500,52.806469444,168.035811667,474.562055833,28.594621111
2014-10-08 00:00:00,43.462392222,1463.418985556,304.325879167,55.029098056,168.036783333,472.662207222,1463.418985556,15.588576111,27.873816111,-397.860685556,913631992231.999990000,6484821051390.000500000,4188775009183.999800000,302.900132222,52.810429444,167.033732778,471.737594444,28.591869167
2014-10-07 00:00:00,43.461416389,1458.275270833,303.358821389,55.025037500,167.852690833,469.932874444,1458.275270833,15.587600278,27.873816111,-396.887986389,911466811805.999990000,6464837544687.999400000,4184454623349.999700000,301.936760000,52.813913889,166.853960000,469.009257778,28.588884722
2014-10-06 00:00:00,43.460611389,1453.686460278,302.215783611,55.020887222,167.724429444,467.939530833,1453.686460278,15.586795278,27.873816111,-395.926561111,909301120094.000100000,6444869955252.000000000,4180134236180.999800000,300.797367222,52.817000278,166.728832222,467.017330833,28.586135556
2014-10-05 00:00:00,43.459940000,1451.088318056,302.210625556,55.016305833,167.640548611,465.283736667,1451.088318056,15.586123889,27.873816111,-394.962126389,907144369575.000040000,6424882010480.999900000,4175813852221.999700000,300.798223889,52.819439444,166.648615833,464.363815000,28.584332222
2014-10-04 00:00:00,43.459018611,1447.672991944,302.205955833,55.012360556,166.995857222,462.599815278,1447.672991944,15.585202500,27.873816111,-393.995974167,904967069287.000060000,6404900494161.000200000,4171493468973.000000000,300.799502500,52.822608611,166.005595278,461.682194722,28.582021944
2014-10-03 00:00:00,43.458302500,1442.575450000,302.087921667,55.008340833,166.710668056,459.857349722,1442.575450000,15.584486389,27.873816111,-393.021365556,902753268376.000040000,6384909149451.999600000,4167173085220.000100000,300.686785000,52.825584722,165.721426389,458.941394167,28.580063333
2014-10-02 00:00:00,43.457623889,1439.388209722,302.060538611,55.003664167,166.670342500,457.880269722,1439.388209722,15.583807778,27.873816111,-392.044077222,900562769633.000010000,6364923813072.999700000,4162852700636.000000000,300.664922222,52.827360000,165.686378333,456.967359444,28.578423056
2014-10-01 00:00:00,43.456765556,1435.916368333,302.055305556,54.999419167,166.141528333,456.862161389,1435.916368333,15.582949444,27.873816111,-391.064991667,898353797419.000020000,6344945787460.000500000,4158532315329.999900000,300.664844167,52.829412222,165.160532500,455.951484444,28.576861667
2014-09-30 00:00:00,43.455789722,1430.996347500,302.033840556,54.995254722,165.932548333,453.622863611,1430.996347500,15.581973611,27.873816111,-390.091026111,896149826590.999960000,6324959521799.999400000,4154211930515.000200000,300.649376667,52.832178611,164.956315556,452.714320000,28.574609167
2014-09-29 00:00:00,43.454806667,1426.385438333,302.029005278,54.990887222,165.809683889,451.247765833,1426.385438333,15.580990556,27.873816111,-389.117063333,893942892203.000060000,6304959223392.000100000,4149891545924.999700000,300.650121111,52.834195556,164.839018889,450.341564167,28.572662500
2014-09-28 00:00:00,43.453782222,1421.459838611,302.024334722,54.986855278,165.274696667,449.068146667,1421.459838611,15.579966111,27.873816111,-388.143764444,891744878160.000080000,6284975863312.000000000,4145571161412.000000000,300.650988333,52.836901667,164.307283056,448.164084167,28.570580556
